contract_address,symbol,name,decimals,price_usd,volume_24h,liquidity_usd,market_cap,holders,price_change_1h,price_change_6h,price_change_24h,safety_score,last_updated,created_at
WENWENvqqNya429ubCdR81ZmD69brwQaaBYY6p3LCpk,WEN,Wen,9,4.338e-05,407537.23,64110.78,31569022.0,100,,,,,2025-06-02T22:43:07.187185+00:00,2025-06-02 23:46:30
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,JitoSOL,Jito Staked SOL,9,188.24,8720547.77,29463496.62,2513485944.0,100,,,,,2025-06-02T22:54:35.298089+00:00,2025-06-02 23:46:30
Ey59PH7Z4BFU4HjyKnyMdWt5GGN76KazTAwQihoUXRnk,LAUNCHCOIN,Launch Coin on Believe,9,0.1521,758676.07,377828.81,152096022.0,100,3.12,3.53,20.2,,2025-06-03T06:55:06.725073+00:00,2025-06-03 06:59:07
HHFgkGQKS2GvQNetDE7sNq95VWUXui5vC4xtpEiapump,SOLANA,ChillHouseFartGuyMaskPnutMoodeng,9,2.357e-05,130911.44,17245.26,23574.0,100,13.49,-36.53,17.26,,2025-06-03T06:55:06.742700+00:00,2025-06-03 06:59:07
HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,ai16z,ai16z,9,0.2416,4433308.72,1544535.92,265828096.0,100,0.52,-4.37,-2.62,,2025-06-03T06:56:07.127718+00:00,2025-06-03 06:59:07
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,Bonk,Bonk,9,1.776e-05,770234.52,134180.99,1375279220.0,100,1.86,2.01,6.27,,2025-06-03T15:23:51.819234+00:00,2025-06-03 15:27:52
2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,PENGU,Pudgy Penguins,9,0.01108,926602.56,3919342.53,696620927.0,100,0.38,0.51,6.33,,2025-06-03T16:06:01.476829+00:00,2025-06-03 16:08:01
Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,TAI,TARS AI,9,0.1241,350629.78,140949.87,72851479.0,100,-3.16,-3.74,7.18,,2025-06-03T16:27:34.912496+00:00,2025-06-03 16:31:35
orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,ORCA,Orca,9,2.71,2077681.79,833575.14,162665311.0,100,0.06,-0.76,6.15,,2025-06-03T16:41:48.537266+00:00,2025-06-03 16:44:49
EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,$WIF,dogwifhat,9,1.029,5961933.38,909684.29,1028195413.0,100,-1.14,5.31,20.89,,2025-06-03T16:46:02.865361+00:00,2025-06-03 16:46:02
7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,POPCAT,Popcat,9,0.4115,6685535.12,943949.18,403271480.0,100,-1.96,-0.49,15.13,,2025-06-03T16:46:02.877359+00:00,2025-06-03 16:46:02
J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,SPX,SPX6900 (Wormhole),9,1.12,4779900.23,837182.19,141458763.0,100,-0.47,3.14,14.2,,2025-06-03T16:46:02.888850+00:00,2025-06-03 16:46:02
DvjbEsdca43oQcw2h3HW1CT7N3x5vRcr3QrvTUHnXvgV,DOOD,Doodles,9,0.003428,99793.77,361080.89,26745800.0,100,-1.22,-0.22,14.06,,2025-06-03T16:46:02.899610+00:00,2025-06-03 16:46:02
MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,MEW,cat in a dogs world,9,0.003436,2171965.37,1645689.83,305474116.0,100,-1.99,1.25,7.85,,2025-06-03T16:46:02.910694+00:00,2025-06-03 16:46:02
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,Fartcoin ,Fartcoin ,9,1.16,23919807.77,8695788.32,1163714173.0,100,-1.71,2.56,7.54,,2025-06-03T16:46:02.921805+00:00,2025-06-03 16:46:02
KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,KMNO,Kamino,9,0.05812,4697101.97,2919385.08,116162919.0,100,0.49,0.41,7.14,,2025-06-03T16:46:02.933209+00:00,2025-06-03 16:46:02
4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,Raydium,9,2.48,4854701.54,4059561.8,717529695.0,100,-1.31,-0.62,6.92,,2025-06-03T16:46:02.943404+00:00,2025-06-03 16:46:02
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,Jupiter,9,0.5499,4826859.17,1983568.68,1623217807.0,100,-0.5,0.98,6.58,,2025-06-03T16:46:02.955565+00:00,2025-06-03 16:46:02
Ai3eKAWjzKMV8wRwd41nVP83yqfbAVJykhvJVPxspump,moonpig,moonpig,9,0.03608,915617.77,142073.33,36083917.0,100,-2.78,-4.36,6.15,,2025-06-03T16:46:02.971239+00:00,2025-06-03 16:46:02
